Data,Produs,Categorie,Cantitate,Pret Unitar,Total,Client,Regiune
2025-07-01,Laptop Pro 15,Electronice,1,1200,1200,TechCorp SRL,Bucuresti
2025-07-02,Mouse Wireless,Accesorii,5,25,125,StartUp Inc,Cluj
2025-07-03,Monitor 4K,Electronice,2,400,800,Design Studio,Timisoara
2025-07-04,Tastatura Mecanica,Accesorii,3,100,300,Freelancer John,Bucuresti
2025-07-05,Licenta Soft,Software,1,500,500,Dev House,Iasi
2025-07-06,Casti Noise Cancelling,Audio,2,250,500,Music Label,Bucuresti
2025-07-07,Laptop Air 13,Electronice,1,1000,1000,Travel Blog,Brasov
2025-07-08,Webcam HD,Accesorii,4,50,200,Consulting Firm,Cluj
2025-07-09,Server Rack,Hardware,1,2500,2500,Data Center,Bucuresti
2025-07-10,Tablet Pro,Electronice,3,600,1800,Creative Agency,Timisoara
